Date,Open,High,Low,Close,Adj Close,Volume
2003-12-01,0.824500,0.836900,0.823400,0.833300,0.833300,0
2003-12-02,0.833300,0.837100,0.829800,0.831300,0.831300,0
2003-12-03,0.831300,0.836700,0.829300,0.829700,0.829700,0
2003-12-04,0.829500,0.834700,0.828500,0.830800,0.830800,0
2003-12-05,0.830800,0.832100,0.820900,0.821500,0.821500,0
2003-12-08,0.821600,0.826400,0.817800,0.820400,0.820400,0
2003-12-09,0.820000,0.820600,0.816100,0.818500,0.818500,0
2003-12-10,0.818800,0.824000,0.810300,0.821500,0.821500,0
2003-12-11,0.821200,0.829300,0.818700,0.821200,0.821200,0
2003-12-12,0.821700,0.824100,0.815300,0.815700,0.815700,0
2003-12-15,0.822800,0.823100,0.816900,0.818300,0.818300,0
2003-12-16,0.818100,0.829700,0.815200,0.818900,0.818900,0
2003-12-17,0.818900,0.819900,0.807800,0.810100,0.810100,0
2003-12-18,0.810000,0.815100,0.806800,0.809700,0.809700,0
2003-12-19,0.809800,0.810700,0.805600,0.808800,0.808800,0
2003-12-22,null,null,null,null,null,null
2003-12-23,0.805000,0.838100,0.804700,0.807900,0.807900,0
2003-12-24,0.807900,0.812300,0.805500,0.806800,0.806800,0
2003-12-25,0.807200,0.808200,0.806500,0.806900,0.806900,0
2003-12-26,0.806900,0.812300,0.805700,0.811200,0.811200,0
2003-12-29,0.811400,0.814200,0.808400,0.812700,0.812700,0
2003-12-30,0.812300,0.815600,0.810100,0.814100,0.814100,0
2003-12-31,0.814100,0.814300,0.800500,0.810600,0.810600,0
2004-01-01,0.810600,0.814600,0.810600,0.812000,0.812000,0
2004-01-02,0.812000,0.816500,0.810400,0.815800,0.815800,0
2004-01-05,0.816500,0.829200,0.814900,0.825700,0.825700,0
2004-01-06,0.825700,0.828400,0.822800,0.825600,0.825600,0
2004-01-07,0.825600,0.832600,0.822400,0.829800,0.829800,0
2004-01-08,0.830700,0.838200,0.826900,0.830400,0.830400,0
2004-01-09,0.830400,0.837800,0.829900,0.833100,0.833100,0
2004-01-12,0.832000,0.838100,0.828600,0.835100,0.835100,0
2004-01-13,0.834500,0.842000,0.832800,0.835000,0.835000,0
2004-01-14,0.835100,0.841300,0.808400,0.836900,0.836900,0
2004-01-15,0.837000,0.837800,0.831800,0.835600,0.835600,0
2004-01-16,0.835900,0.843900,0.834900,0.840700,0.840700,0
2004-01-19,0.836600,0.837700,0.827400,0.831600,0.831600,0
